Date,Open,High,Low,Close,Adj Close,Volume
2022-01-12,67.779999,68.650002,66.919998,67.279999,64.679916,27976200
2022-01-13,67.529999,68.440002,67.019997,67.779999,65.160591,29222000
2022-01-14,65.360001,67.080002,65.080002,66.930000,64.343445,35994400
2022-01-18,66.690002,66.839996,65.099998,65.300003,62.776432,26353600
2022-01-19,65.660004,65.660004,63.970001,64.239998,61.757389,22817100
2022-01-20,64.290001,65.449997,63.700001,64.459999,61.968895,22794100
2022-01-21,63.990002,64.449997,62.750000,63.270000,60.824883,28637900
2022-01-24,61.509998,62.799999,60.029999,62.700001,60.276905,38601700
2022-01-25,61.970001,64.459999,61.130001,64.110001,61.632420,34371100
2022-01-26,64.699997,65.779999,63.869999,64.750000,62.247688,31803400
2022-01-27,65.220001,65.849998,63.900002,64.150002,61.670876,24674000
2022-01-28,63.619999,64.709999,62.830002,64.690002,62.190006,20953500
2022-01-31,64.010002,65.250000,63.599998,65.120003,62.603394,23067400
2022-02-01,65.440002,66.690002,65.040001,66.559998,63.987736,26868400
2022-02-02,66.349998,66.800003,65.580002,66.230003,63.670490,18194200
2022-02-03,66.260002,66.379997,65.029999,65.260002,62.737972,18219100
2022-02-04,65.040001,66.660004,64.839996,66.080002,64.026657,23267900
2022-02-07,66.089996,66.790001,65.500000,66.360001,64.297951,20081600
2022-02-08,67.059998,67.970001,66.599998,67.120003,65.034332,23191000
2022-02-09,67.410004,68.190002,67.139999,67.839996,65.731956,20902700
2022-02-10,67.949997,68.550003,67.220001,67.500000,65.402527,22522300
2022-02-11,67.250000,69.110001,66.599998,67.150002,65.063400,27226700
2022-02-14,66.870003,67.220001,65.820000,66.459999,64.394836,24544000
2022-02-15,67.160004,67.480003,66.529999,67.000000,64.918053,15487600
2022-02-16,66.540001,67.430000,66.430000,66.949997,64.869614,13067400
2022-02-17,66.330002,66.639999,64.209999,64.709999,62.699219,23150000
2022-02-18,64.110001,64.970001,63.700001,64.139999,62.146931,18114800
2022-02-22,63.070000,64.360001,63.070000,63.889999,61.904697,19057000
2022-02-23,64.419998,64.760002,63.040001,63.220001,61.255524,17563500
